Name,Barcode,BaseUnit,Price_Amount,GroupCode,Unnamed: 5,Unnamed: 6,Unnamed: 7,is_valid_barcode
OMBAR CENTRES RASBRRY,5060102661962,,1.99,CHOCOLATE & SWEETS,,,,True
OMBAR COCONUT VANILLA,5060102661993,,1.99,CHOCOLATE & SWEETS,,,,True
OMBAR PISTACHIO,5060102662150,,2.29,CHOCOLATE & SWEETS,,,,True
OMBAR %72 CACAO,5060102661078,,2.29,CHOCOLATE & SWEETS,,,,True
OMBAR %90 CACAO,5060102661931,,2.29,CHOCOLATE & SWEETS,,,,True
OMBAR %55 COCO MYLK,5060102661870,,2.29,CHOCOLATE & SWEETS,,,,True
THR RCC GOJI BERRIES,5060135241131,,1.79,CHOCOLATE & SWEETS,,,,True
THE RCC MULBERRIES,5060135241117,,1.79,CHOCOLATE & SWEETS,,,,True
THE RCC RAISINS,5060135241735,,1.79,CHOCOLATE & SWEETS,,,,True
VIVANI TRUFFES,4044889004175,,12.99,CHOCOLATE & SWEETS,,,,True
VEGO PINE HAZELNUT,4260334140056,,5.99,CHOCOLATE & SWEETS,,,,True
MONTEZUMAS %74 CACAO DARK BUTTONS,5060719920681,,4.99,CHOCOLATE & SWEETS,,,,True
MONTEZUMAS MILK BUTTON,5060719920667,,4.99,CHOCOLATE & SWEETS,,,,True
OMBAR COCONUT VANILLA C,5060102662174,,3.79,CHOCOLATE & SWEETS,,,,True
OMBAR %55 CACAO,5060102662105,,3.79,CHOCOLATE & SWEETS,,,,True
OMBAR COCO ALMOND %60,5060102662129,,3.79,CHOCOLATE & SWEETS,,,,True
OMBAR PISTACHIO,5060102662181,,3.79,CHOCOLATE & SWEETS,,,,True
ICHOC WHITE NOUGAT,4044889004632,,2.99,CHOCOLATE & SWEETS,,,,True
ICHOC CHOCO COOKIE,4044889004601,,2.99,CHOCOLATE & SWEETS,,,,True
ICHOC W VANILLA,4044889004571,,2.99,CHOCOLATE & SWEETS,,,,True
ICHOC SUPER NUT,4044889004625,,2.99,CHOCOLATE & SWEETS,,,,True
MONTEZUMA SPICE IT UP,5060719920247,,2.99,CHOCOLATE & SWEETS,,,,True
MONTEZUMA LORDY LORD,5060719920261,,3.69,CHOCOLATE & SWEETS,,,,True
MOTEZUMA SEA DOG,5060719920223,,3.49,CHOCOLATE & SWEETS,,,,True
MONTEZUMA DARKSIDE,5060719920360,,3.69,CHOCOLATE & SWEETS,,,,True
MONTEZUMA BUTTER NUTTER,5060719920506,,3.69,CHOCOLATE & SWEETS,,,,True
MONTEZUMA ABSOLUTE BLACK,5060719920001,,3.69,CHOCOLATE & SWEETS,,,,True
THE RAW VANOFFE MULBERRIES,5060135241827,,4.99,CHOCOLATE & SWEETS,,,,True
THE RAW C MULBERRIES,5060135240721,,4.99,CHOCOLATE & SWEETS,,,,True
RAW CC DARK RAISINS,5060135240738,,4.99,CHOCOLATE & SWEETS,,,,True
RAW CC DARK GAJI BERRIES,5060135240714,,4.99,CHOCOLATE & SWEETS,,,,True
CAFE DIRECT DECAF MAHU PICCHU,5018190009869,,4.99,COFFEE & TEA,,,,True
CAFE DIRECT KILIMANJARO,5018190009487,,4.99,COFFEE & TEA,,,,True
CLIPPER ITALIAN ROAST GROUND COFFEE,5021991245626,,5.99,COFFEE & TEA,,,,True
BAMBU FRUIT GRAIN CAFFE,7610313411016,,5.49,COFFEE & TEA,,,,True
BARLEY CUP CEREAL DRINK,5901154045181,,4.29,COFFEE & TEA,,,,True
LOVE CORN SEA SALT,5060490400037,,1.49,SNACKS,,,,True
LOVE CORN CHEESE ONION,5060490400693,,1.49,SNACKS,,,,True
CC DUCK EGGS,5000306002543,,2.99,GENERAL,,,,True
CC OLD COSTWOLD LEGBAR,5024393000091,,3.79,GENERAL,,,,True
BARRADALE ORG FREE RANGE,5060035420902,,2.59,GENERAL,,,,True
CC BURFORD BROWNS,5000306004240,,3.99,GENERAL,,,,True
CC LEGHORN WHITES,5000306004370,,3.99,GENERAL,,,,True
STONEGATE FINE ORG LARGE EGG,5000306003519,,2.99,GENERAL,,,,True
KINGFISHER STRAWBERRY,5016912401090,,2.79,HOUSEHOLD,,,,True
KINGFISHER B SODA,5016912212917,,4.49,HOUSEHOLD,,,,True
KINGFISHER ALOVERA FENNEL,5016912212894,,4.49,HOUSEHOLD,,,,True
KINGFISHER FENNEL,5016912212870,,4.49,HOUSEHOLD,,,,True
KINGFISHER CHARCOAL,5016912212924,,4.49,HOUSEHOLD,,,,True
KINGFISHER ALOVERA MINT,5016912212900,,4.49,HOUSEHOLD,,,,True
ALOE DENT ALOVERA FLUORIDE,5029354010386,,3.99,HOUSEHOLD,,,,True
SARAKAN,5000477897085,,2.89,HOUSEHOLD,,,,True
BERRIES CREAM JACK JILL,9312657108048,,4.99,HOUSEHOLD,,,,True
SUMA TRICOLOUR QUINOA,5017601042730,,5.09,DAIRY FOOD,,,,True
SUMA BROWN LENTILS,5017601022381,,2.99,DAIRY FOOD,,,,True
SUMA POPCORN,5017601019268,,2.69,GENERAL,,,,True
BEAN MIX,5017601023425,,4.49,DAIRY FOOD,,,,True
SUMA GREEN LENTILS,5017601022305,,3.59,DAIRY FOOD,,,,True
SUMA ADUKI BEANS,5017601023340,,3.99,DAIRY FOOD,,,,True
SUMA QUINOA,5017601038092,,4.79, GENERAL,,,,True
SUMA SOYA BEANS,5017601024224,,2.69,DAIRY FOOD,,,,True
SUMA MOONG DAHL,5017601020523,,3.29,DAIRY FOOD,,,,True
SUMA GREEN SPLIT PEAS,5017601023760,,3.19,DAIRY FOOD,,,,True
SUMA CHICK PEAS,5017601022404,,2.79,DAIRY FOOD,,,,True
SUMA HARICOT BEANS,5017601023807,,3.59,DAIRY FOOD,,,,True
SUMA BROTH MIX,5017601030539,,2.99, GENERAL,,,,True
SUMA PINTO BEANS,5017601022268,,3.69,DAIRY FOOD,,,,True
SUMA BUTTER BEANS,5017601023586,,5.99,DAIRY FOOD,,,,True
SUMA RED QUINOA,5017601037378,,4.99, GENERAL,,,,True
SUMA DARK SPECKLED LENTILS,5017601023920,,4.79,DAIRY FOOD,,,,True
SUMA RED KIDNEY BEANS,5017601024521,,4.29,DAIRY FOOD,,,,True
SUMA BUCKWHEAT,5017601018469,,3.19,DAIRY FOOD,,,,True
SUMA ORG RED LENTILS,5017601024125,,3.99,DAIRY FOOD,,,,True
SUMA BLACK BEANS,5017601039716,,3.29,DAIRY FOOD,,,,True
F&A MADRAS CURRY PASTE,5015285811543,,3.99,DAIRY FOOD,,,,True
FREE EASY TIKKA MASALA,5015285811529,,3.99,DAIRY FOOD,,,,True
F&E ROGHAN JOSH CURRY,5015285811512,,3.39,DAIRY FOOD,,,,True
BIONA TIKKA MASALA,5032722316089,,4.19,DAIRY FOOD,,,,True
BIONA SATAY PEANUT,5032722316096,,4.55,DAIRY FOOD,,,,True
GEO MADRAS CURRY PASTE,5060005460501,,3.99,DAIRY FOOD,,,,True
GEO TIKKA MASALA CURRY P.,5060005460518,,4.59,DAIRY FOOD,,,,True
GEO BHUNA CURRY PASTE,5060005460648,,3.99,DAIRY FOOD,,,,True
BIONA MUSTARD M H,5032722318892,,3.29,DAIRY FOOD,,,,True
HARRY BRAND HARRISA CHLLI S,634041130831,,4.49,DAIRY FOOD,,,,True
BIONA MUSTARD DIJON,5032722304925,,3.49,DAIRY FOOD,,,,True
BIONA MUSTARD WHOLEGRAIN,5032722304932,,3.99,DAIRY FOOD,,,,True
ALFEZ GREEN HARISSA,5034444112253,,2.99,DAIRY FOOD,,,,True
,5034444114431,,3.79, GENERAL,,,,True
BAYS K. KATSU CURRY SAUCE,5060524150167,,3.99,SAUCE,,,,True
BIONA BASILICO PASTA SAUCE,5032722301054,,3.49,SAUCE,,,,True
BIONA TOSCANA PASTA SAUCE,5032722306455,,3.69,SAUCE,,,,True
BIONA ARRABBIATA P S,5032722308367,,2.99,SAUCE,,,,True
MR ORG MEDITERRANEA,5060178073447,,3.59,SAUCE,,,,True
MR ORG SOYA RAGU,5060178071320,,2.99,SAUCE,,,,True
ZEST CORIANDE BASIL PESTO,5010338223540,,3.19,SAUCE,,,,True
ZEST VEGAN BASIL PESTO,5010338223533,,3.19,SAUCE,,,,True
ZEST SUN DRIED TOMATO PASTE,5010338223564,,3.49,GROCERY,,,,True
BAYS KITCHEN VEGETABLE STOCK,5060524150266,,4.49,SAUCE,,,,True
BIONA GREEN PESTO,5032722302075,,3.99,SAUCE,,,,True
BLACK GARLIC PASTE,5060199660237,,5.99,SAUCE,,,,True
BLACK GARLIC CLOVE,5060199660008,,4.29,SAUCE,,,,True
BIONA RED PESTO,5032722313361,,3.99,SAUCE,,,,True
BIONA TOMATO KETCHUP,5032722313057,,4.19,SAUCE,,,,True
GREEEN CHILLI HOT C SAUCE,8853662056982,,3.39,SAUCE,,,,True
MAGGI TAQMARIND SAUCE,5000243726960,,2.29,SAUCE,,,,True
MTS HSB PERSKE BLATJANG,6001092500151,,2.49,SAUCE,,,,True
BIONA VEGAN WORCETER S,5032722305809,,4.55,SAUCE,,,,True
BIONA HOT PEPPER SAUCE,5032722305793,,3.99,SAUCE,,,,True
BIONA SWEET CHILLI DIPPING S,5032722314054,,3.99,SAUCE,,,,True
BIONA TOMATO KETCHUP,5032722302273,,2.99,SAUCE,,,,True
BIONA SWEET SOUR,5032722317048,,3.99,SAUCE,,,,True
ALFEZ TAHINI SESAME SAUCE,5034444112406,,3.29,SAUCE,,,,True
BIONA ORF FREE RANGE EGGS,5032722314900,,3.49,SAUCE,,,,True
SUMA BASIL PASSATA,5017601027294,,2.29,SAUCE,,,,True
SUMA ORG PASSATA,5017601027195,,2.29,SAUCE,,,,True
BIONA EGG FREE MAYO,5032722315358,,3.49,SAUCE,,,,True
BIONA ORG OLIVE OIL MAYO,5032722302778,,4.99,SAUCE,,,,True
MR ORG GARLIC MAYO,5060178072617,,3.19,SAUCE,,,,True
MR ORG EGG REE MAYO,5060178071849,,2.89,SAUCE,,,,True
TC WILD ELDERFLOWER,5020934700512,,4.49,SAUCE,,,,True
TC WILD NETTLE,5020934700529,,4.49,SAUCE,,,,True
CORTAS POMEGRANATE MLASSES,735143007011,,3.99, GENERAL,,,,True
CORTAS BLOSSOM WATER,735143004119,,2.99, GENERAL,,,,True
CORTAS ROSE WATER,735143004010,,2.99, GENERAL,,,,True
BIONA GINGER JUICE,5032722315778,,5.99,SAUCE,,,,True
BIONA LIME JUICE,5032722317024,,2.99, GENERAL,,,,True
BIONA ORG LEMON JUICE,5032722315785,,2.49, GENERAL,,,,True
ORGANICO EXRA VIRGIN OLIVE OIL,5034210521760,,19.99, GENERAL,,,,True
VIEIRU EXTRA VIRGIN OLIVE OIL,8437010399039,,8.49, GENERAL,,,,True
LA BIO IDEA VIRGIN OLIVE OIL,8717496901965,,12.39, GENERAL,,,,True
ORGANICO EX VIRGIN OLIVE OIL,5034210521739,,11.99, GENERAL,,,,True
RAW VIBRANT GREEK EXTRA O-O,5032722315761,,8.39, GENERAL,,,,True
VIEIRU ACEITE OLIVA O-O,8437010399596,,9.99, GENERAL,,,,True
RAW RED WINE VINEGAR,5032722316287,,3.49, GENERAL,,,,True
ASPALL RAW APPLE CYDER VINEGAR,5012845032660,,3.29, GENERAL,,,,True
BIONA ORGANIC CIDER VINEGAR,5032722303072,,3.29, GENERAL,,,,True
ASPALL CLASSIC RED W VINEGAR,5012845205620,,2.29, GENERAL,,,,True
ASPALL ORGANIC BALSAMIC VINEGAR,5012845032967,,4.99, GENERAL,,,,True
ASPALL ORG WHITE VINE VINEGAR,5012845032028,,2.49, GENERAL,,,,True
RAW WHITE WINE VINEGAR,5032722316324,,3.49, GENERAL,,,,True
OILIO SUNFLOWER OIL,5412210133112,,2.49, GENERAL,,,,True
JW BEET IT,5020934000728,,4.79, GENERAL,,,,True
BIG S TOMATO MIX,5020934400023,,4.99, GENERAL,,,,True
JW MIXED VEGETALES,5020934000636,,4.99, GENERAL,,,,True
JW BEET IT WHITE GINGER,5020934750012,,4.99, GENERAL,,,,True
JW CARROT,5020934000278,,4.99, GENERAL,,,,True
,5032722302518,,6.49, GENERAL,,,,True
CLEARSPRING CORN CAKES,5021554987635,,1.89, GENERAL,,,,True
BIONA RYE KRACKE CRISBREAD,5032722318120,,1.79, GENERAL,,,,True
FOREST FEAST WH. CA. CRANBERRIES,5022374046687,,4.29, GENERAL,,,,True
FF APRICOTS,5022374016024,,3.49, GENERAL,,,,True
FF MANGO DRIED,5022374006193,,3.99, GENERAL,,,,True
FF SNACK SIXED DRIED MANGO,5022374044072,,4.99, GENERAL,,,,True
FF JUMBO AGEN PRUNES,5022374016048,,3.49, GENERAL,,,,True
URBAN FRUIT MANGO,5060139435246,,3.99, GENERAL,,,,True
UF GENTLY PINEAPPLE,5060139430043,,2.99, GENERAL,,,,True
UF GENTLY RASPBERRIES,5060139432610,,3.99, GENERAL,,,,True
ND BROWN BAG LIGHTLY SALTED,5060356680054,,2.49, GENERAL,,,,True
LOACKER COCO PATISSERIE,8000380003723,,2.99, GENERAL,,,,True
LOACKER CAPPUCCINO,8000380003754,,2.99, GENERAL,,,,True
HOME FREE CHOCOLATE CHIP,857313001756,,3.99, GENERAL,,,,True
NAIRNS OATCAKES,612322000387,,1.79, GENERAL,,,,True
NAIRNS COCONUT OAT BISCUITS,612322001063,,1.79, GENERAL,,,,True
BIONA CORN  NO SALT,5032722308497,,1.99, GENERAL,,,,True
BIONA RICE QUINOA CAKE,5032722300583,,1.99, GENERAL,,,,True
BIONA SPELT CAKES,5032722311480,,1.79, GENERAL,,,,True
DR KARGS SEEDED SPELT,4033634061075,,3.79, GENERAL,,,,True
DR KARGS 3- SEED,4033634061006,,3.29, GENERAL,,,,True
DR KARGS 3 GRAINS 3 SEEDS,4033634061181,,3.79, GENERAL,,,,True
CLEARSPRING RICE CAKES SALTED,5021554000310,,1.79, GENERAL,,,,True
CLEARSPRING RICE CAKES NO SALT,5021554000242,,1.99, GENERAL,,,,True
BIONA RYE SESAME CRSP,5032722318137,,1.79, GENERAL,,,,True
INES ROSALES WITH CINNAMON,8410637116456,,3.39, GENERAL,,,,True
ND BROWN LIGHTLY SALTED,5060356680009,,1.19, GENERAL,,,,True
ND BROWN BAG CRISPS SEA SALT MALT,5060356680016,,0.99, GENERAL,,,,True
TROPICAL WH. ORG MANGO,5030131120044,,4.79, GENERAL,,,,True
DOVES FAM GINGER OAT BUICUITS,5011766991216,,2.55, GENERAL,,,,True
BIONA RICE CAKES STRAWBERRY YOGURT,5032722316126,,1.99, GENERAL,,,,True
FREE LEMON ZEST COOKIES,5011766888981,,2.29, GENERAL,,,,True
FREEE STEM GINGER COOKIES,5011766991148,,2.19, GENERAL,,,,True
RW SWEET POTATO GLUTEN FREE C,5060142212162,,4.99, GENERAL,,,,True
RG LENTIL TURMERIC  SEED,5060142212643,,4.99, GENERAL,,,,True
RG KALE CRAKERS GLUTEN FREE,5060142212186,,4.99, GENERAL,,,,True
CLEARSPRING UME SU,5021554004097,,3.55, GENERAL,,,,True
CLEARSPRING KUZU,5021554985655,,7.99, GENERAL,,,,True
CLEARSPRING SOYA SAUCE,5021554989684,,4.99, GENERAL,,,,True
BIONA SHOYU SOYA SAUCE,5032722316201,,2.49, GENERAL,,,,True
TAZAKI YUTAKA ORG MISO PASTE,5014276701115,,3.79, GENERAL,,,,True
TAZAKI YUTAKA WHITE MISO,5014276701139,,2.99, GENERAL,,,,True
CLEARSPRING BROWN MISO,5021554980056,,6.69, GENERAL,,,,True
BIONA TERIYAKI SAUCE,5032722317031,,3.59, GENERAL,,,,True
YUTAKA RICE VINEGAR,5014276512025,,2.69, GENERAL,,,,True
BIONA TAMARI SOYA SAUCE,5032722316218,,3.89, GENERAL,,,,True
CLEARSPRING MISO RAMEN,5021554001300,,5.49, GENERAL,,,,True
CLEARSPRING SHOYU RAMNEN,5021554001287,,5.49, GENERAL,,,,True
,5014276701306,,3.19, GENERAL,,,,True
YUTAKA SBEAN NOODLES,5014276701320,,3.19, GENERAL,,,,True
,5021554988892,,3.69, GENERAL,,,,True
,5021554988915,,3.69, GENERAL,,,,True
CLEARSPRING UDON SEMI WHOLEWHEAT,5021554989035,,3.69, GENERAL,,,,True
YUTAKA UDON NOODLES,5014276700811,,2.19, GENERAL,,,,True
,5021554987949,,4.79, GENERAL,,,,True
CLEARSPRING  100% WIDE BROWN RICE,5021554989455,,4.55, GENERAL,,,,True
CLEARSPRING B. RICE NOODLES,5021554989431,,4.55, GENERAL,,,,True
NE SEAWEED SNACK SEA SALT,854096005780,,1.39, GENERAL,,,,True
,5032722313934,,3.39, GENERAL,,,,True
CLF BIONA WHEAT ASIA NOODLES,5032722313262,,2.39, GENERAL,,,,True
CLEARSPRING DRIED LOTUS ROOT,5021554002420,,7.99, GENERAL,,,,True
YUTAKA HON WASABI PASTE,5014276705854,,2.99, GENERAL,,,,True
NATRACARE PANTY LINERS CURVED,782126003065,,1.99,HOUSEHOLD,,,,True
NATRACARE PANTY LINERS TANGA,782126003072,,1.99,HOUSEHOLD,,,,True
NATRACARE PANTY LINERS MINI,782126003003,,1.99,HOUSEHOLD,,,,True
AP ALOE VERA GEL,5029354000271,,6.69,HOUSEHOLD,,,,True
AP ALOE VERA GEL 100ML,5029354000868,,4.59,HOUSEHOLD,,,,True
AP A;OE VERA AFTER SUN LATION,5029354002695,,7.99,HOUSEHOLD,,,,True
NATURACARE W ORG COTTON COVER,782126003409,,2.79,HOUSEHOLD,,,,True
NATRACARE SUPER,782126009005,,2.99,HOUSEHOLD,,,,True
NATRACARE REGULAR NORMAL,782126008008,,2.99,HOUSEHOLD,,,,True
NATRUCARE MAXI PADS SUPER,782126003034,,2.49,HOUSEHOLD,,,,True
NATRACARE MAXI PADS REGULAR,782126003027,,2.49,HOUSEHOLD,,,,True
NATRACARE ULTRA PADS REGULAR,782126003058,,1.99,HOUSEHOLD,,,,True
STF MOIST TISSUES,782126203137,,2.19,HOUSEHOLD,,,,True
NATRACARE INTIMATE WIPES,782126200150,,2.39,HOUSEHOLD,,,,True
NATRACARE ORG CT SSUPER PLUS,782126002020,,2.89,HOUSEHOLD,,,,True
NATRACRE ORG COTTON TAMPONS REGULAR,782126001009,,2.89,HOUSEHOLD,,,,True
NATRACARE ORG CT SUPER 20,782126002006,,2.89,HOUSEHOLD,,,,True
ST DALFOUR KUMQUAT,5014271795836,,3.49,GROCERY,,,,True
ST DALFOUR MANGO PASSION FRUIT,5014271002712,,3.79,GROCERY,,,,True
ST DALFOUR ORANGE&GINGER,5014271560427,,3.79,GROCERY,,,,True
ST DALFOUR MIRABELLA PLUM,5014271380421,,3.79,GROCERY,,,,True
ST DALFOUR ORCHARD PEAR,5014271795331,,2.69,GROCERY,,,,True
ST DALFOUR BLACK CHERRY,5014271310428,,3.79,GROCERY,,,,True
ST DALFOUR WILD BLUEBERRY,5014271330426,,3.79,GROCERY,,,,True
ST DALFOUR CRANBERRY W BULEBERRY,5014271795652,,2.69,GROCERY,,,,True
ST DALFOUR RASPBERRY,5014271796147,,3.79,GROCERY,,,,True
ST DALFOUR BLACKCURRANT,5014271340425,,3.79,GROCERY,,,,True
ST DALFOUR APPLE C,5014271002699,,3.79,GROCERY,,,,True
ST DALFOUR ORANGE,5014271360423,,3.79,GROCERY,,,,True
ST DALFOUR STRAWBERRY,5014271002705,,2.69,GROCERY,,,,True
ST DALFOUR RASPBERRY,5014271390420,,3.79,GROCERY,,,,True
ST DALFOUR HERITAGE PEACH,5014271370422,,3.79,GROCERY,,,,True
